comic_id,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63
3875,0.1104718749,0.03749163208,0.05470344182,0.07930200712,0.1125380706,0.05316346613,0.1210433766,0.03933454828,0.08107149949,0.06977066673,0.09800139857,0.2450034964,0,0.06810482703,0.05765248228,0.07364791657,0.1464164033,0.2078376868,0.06477496153,0.043591918,0.01403887818,0.02580652858,0.1106926227,0.1078784575,0.08540956859,0.1425049154,0,0.1956119405,0.07882680787,0.2304419211,0.03711918766,0.1098123025,0.2420867533,0.08835851757,0.2789560097,0.04978959414,0.08473036364,0.1467089554,0.2061848768,0.1115801147,0.4017103586,0.1647514112,0.02691551676,0.1032261143,0.1788486447,0.06438741471,0.1093747957,0.01252219386,0.1359448678,0.03764168607,0.05028926164,0.08871229831,0.06149590152,0.02519490846,0.06311322684,0.04949225021,0.1704785125,0.2078376868,0.01287748294,0.06286157704,0.03638556649,0.06503471166,0.05059155617,0.1126997447
3876,0.06762750918,0.03442684886,0.1695318712,0.0182048504,0.03875195875,0,0.2334120385,0.03611911442,0.01861106136,0.1153209748,0.1181121329,0.1181121329,0.01953326628,0.2063738948,0.03970472577,0.08453438648,0.1848652825,0.2862717452,0.07137585707,0.02001423103,0.1160213305,0.05331814519,0.03388132215,0,0.2352830869,0.07137585707,0.0601856292,0.1852346586,0.09047880987,0.2004671969,0.0170424251,0.0672237391,0.1000337308,0.06954478323,0.3508175945,0.1200136987,0.1333783077,0.1515556298,0.1503503976,0.1024589097,0.04256217999,0.06982323521,0.05560939459,0.1421817205,0.03519182578,0.05321161295,0.2343456879,0.06899134309,0.06241597334,0.08641159142,0.1039012336,0.1221906616,0.06776264429,0.06940599201,0.05215858742,0.0340848502,0.1174069584,0.319950774,0.08868602159,0.1039012336,0.1169391982,0.03583103853,0.05226289792,0.03449567154
3877,0.09833845132,0.1001214755,0.0182607058,0.0705920541,0.07513328339,0,0.1777856134,0.1050429867,0.01804179959,0.0745290798,0.1144994038,0.2780699808,0.03787159355,0.01818740714,0.03849026616,0.1802871608,0.2280864169,0.1469199551,0.08649082958,0.1358143509,0.05623627671,0.06891638412,0.09853495386,0,0.08145943462,0.01729816592,0.02917235722,0.1142710762,0.05262678545,0.113362346,0.1156480056,0.1466269823,0.3394088982,0.06741759739,0.3400870381,0.06648160338,0.09697397092,0.1305955157,0.08097310431,0.1324332936,0.1856714338,0.08460941536,0.0179694848,0.08614548015,0,0.01719467146,0.3245395578,0.1003216282,0.02016894614,0.05026109747,0.05036158867,0.1015312984,0.06568996924,0.03364152571,0.0337087987,0.09912686193,0.1138157987,0.2448665919,0.05158401439,0.08393598111,0.113362346,0.05210259672,0.1013286359,0.1003216282
3878,0.03378397868,0.08599133268,0,0.07275527788,0.09679458583,0,0.2498641062,0,0.03718934544,0.07681294985,0.01685830357,0.1517247321,0.09758032784,0.03748948453,0.1785139306,0.1182439254,0.11753795,0.2691949726,0.03565650225,0.03999321358,0.03863972125,0.07102825865,0.1015544602,0.01855736563,0.05037340713,0.07131300451,0.3307294683,0.2187209152,0.07231930842,0.3505086695,0.1191919245,0.03358227142,0.2165488921,0.1042253146,0.1001453342,0,0.1665760708,0.1009481147,0.2002906683,0.03412289528,0.08504940068,0.1046426248,0.1481611353,0.1242994526,0.05274125455,0.01772158519,0.167242376,0.08616323787,0.0831480143,0.05180129916,0.01730162327,0.1569639372,0.0507772301,0.03467243704,0.05211265731,0.1702741779,0.2010918369,0.1850715436,0,0.05190486981,0.1001453342,0.05369922934,0.01740562532,0.1033958854
3879,0.1340744727,0.04550181489,0.03319548584,0.06416338879,0.1024365873,0,0.0587618411,0.03182564989,0.03279754404,0.1016128171,0.02973491183,0.2527467505,0.05163406446,0.1487800746,0,0.1042801454,0.1925068614,0.2819183549,0.0314457189,0.2116217698,0.05111496092,0.07830039805,0.04478079463,0.03273174128,0.08884932063,0.1100600162,0,0.2077293141,0.01594472607,0.2355169897,0.1801991871,0.1184657608,0.323190126,0.07659752871,0.2796764252,0.1057477188,0.08814276165,0.08902684892,0.3091160489,0.06018644035,0,0.1076659071,0.09799825668,0.09396047766,0.07752146921,0.07814395007,0.1474922219,0.04559277753,0,0.0304559522,0.04577526798,0.1076659071,0.05970772617,0.1070225272,0.07659752871,0.04504979677,0.07389345766,0.1483780815,0.03125758003,0.2136179172,0.1177584948,0.01578590873,0.04605042838,0
3880,0.06564586873,0.08354515894,0.07313964457,0.08835703356,0.2068904083,0,0.194205028,0.03506074188,0.07226285903,0,0.08189369832,0.1310299173,0.01896089697,0.1274806072,0.05781192995,0.1148802703,0.1794483076,0.2288450947,0.0519632861,0.05828330508,0,0.1035116036,0.08222130509,0.01802946894,0.06525393004,0.1558898583,0,0.1798068601,0.03513102965,0.1783769627,0.1488873882,0.09788089505,0.2751237897,0.01687674057,0.4864826255,0.04992729567,0.06473500935,0.1798068601,0.1945930502,0.1160327346,0,0.06777725497,0.07197321644,0,0.03416062492,0.03443492745,0.09749092459,0.05022730439,0,0.01677590689,0.0840472418,0.1863874512,0.1151098271,0.08421529744,0.1012604434,0.03308608626,0.1790904758,0.1307686256,0.1033047824,0.1176661385,0.1297287001,0.06956221455,0,0.03348486959
3881,0.09302330104,0.06313996902,0.06909489058,0.03338829223,0.1066085434,0,0.1987539021,0.09936545925,0.06826659286,0.08812601955,0.0773648294,0.3558782152,0.05373697573,0.1376350859,0.05461482617,0.1550388351,0.1695244932,0.1235368852,0.04908962285,0.09176688901,0.01773224352,0.06519148371,0.09320918271,0.05109722056,0.07705658782,0.03272641523,0,0.1080947745,0.06637644096,0.1685123956,0.234422746,0.2003471283,0.259908949,0.06377370574,0.3676634086,0.0314441509,0.1070213319,0.09265266389,0.1838317043,0.2035724145,0.01951510823,0.03201452539,0.1359859361,0.03259574185,0.03227148088,0,0.2302487525,0.0948992881,0,0.01584816905,0.06351942244,0.09604357617,0.09320918271,0.07955803991,0.1116039851,0.1406536476,0.09228351824,0.1235368852,0.03253061398,0.1270388449,0.09191585214,0.09857294831,0.04792593374,0.01581654802
3882,0.1203517839,0.04595022858,0.01676131123,0.04859678216,0.1724101413,0,0.1928580238,0.04820893048,0.03312075901,0.03420473217,0.07506986252,0.3303073951,0.01738097019,0.1836343427,0.01766490675,0.1203517839,0.1196332235,0.2547285537,0.01587780592,0.08904469634,0.03441246089,0.06325762956,0.09044420553,0.148744385,0.04486245881,0.1270224473,0,0.2397445211,0.016101859,0.1783784812,0.1061520971,0.1944039882,0.1780227912,0.07735238609,0.2527028484,0.03051138487,0.148352326,0.08990419541,0.1486487343,0.2583131677,0,0,0.09896401508,0.1265152591,0.125256691,0.0789140472,0.1638403097,0.07673681273,0.01851286512,0.03075609112,0.1386791295,0.07766209912,0.1356663083,0.09263761579,0.01547047722,0.0151645853,0.1790920004,0.2247604885,0.03156561888,0.1232703374,0.0891892406,0.04782442962,0.03100283238,0.01534736255
3883,0.1791068109,0.0759809529,0.06651755721,0.1446428859,0.2223691163,0,0.1619031711,0.1434884888,0,0.06787103936,0.1489580321,0.2681244578,0.01724417116,0.1821890263,0,0.07462783786,0.2373832714,0.07433049462,0.1260227018,0.05300631556,0.1194956471,0.09413962909,0.04486617673,0.04919122475,0.1483645446,0.09451702633,0,0.1189287914,0.07987563682,0.2359660423,0.1203618447,0.222546817,0.2207770515,0.09209228971,0.206470287,0,0.1324662309,0.1189287914,0.2802096753,0.1658282887,0,0.04623051009,0.03272836894,0.07844969091,0.04660156614,0.03131717785,0.1625507847,0.09135941562,0.07346862948,0.03051402158,0.07643757702,0.1078711902,0.08973235346,0.01531808337,0.06139485981,0.1504523059,0.1184549567,0.1040626925,0,0.1375876386,0.07373938823,0.1581600722,0.07689705208,0
3884,0.124563259,0.03623479384,0.1189566207,0,0.2855092748,0.02569062919,0.175478429,0.03801592965,0.01958843152,0.06068855972,0.07103706099,0.1953519177,0.02055906655,0.07898608505,0.04178984137,0.05338425387,0.1945735849,0.2126862098,0.07512419961,0.147457026,0.1831713821,0.05611817702,0.07132123697,0.05864739187,0.123819554,0.09390524952,0,0.0886192541,0.05713821272,0.1406632283,0.269061262,0.03537701544,0.1930262719,0.09149620739,0.263743553,0.07218073389,0.1579305861,0.1595146574,0.1054974212,0.3235187877,0,0.07349004096,0.05852975265,0.03741211801,0.09259985986,0,0.1409442749,0.07261446156,0,0.09094954385,0.05467883211,0.1286075717,0.1248121647,0.07305088601,0.03659848296,0.07174966987,0.1235726496,0.07089540328,0.05600605019,0.2004890511,0.1934119389,0.1131381759,0.1100150257,0
